# Shot Clock Trainer — timings.csv
#
# Each row maps a YouTube video timestamp to a game event.
#
# Columns:
#   video_time  — seconds from the start of the YouTube video
#   event_type  — one of:
#                   QuarterStart    (quarter begins; set game_clock to full quarter length)
#                   QuarterEnd      (quarter ends)
#                   GameClockStart  (clock starts running)
#                   GameClockStop   (clock stops: dead ball, timeout, etc.)
#                   ShotClockStart  (shot clock begins counting)
#                   ShotClockStop   (shot clock stops with time remaining)
#                   ShotClockReset24 (shot clock reset to 24 seconds)
#                   ShotClockReset14 (shot clock reset to 14 seconds)
#   quarter     — 1, 2, 3, or 4
#   game_clock  — remaining time in quarter as MM:SS (e.g. 11:45)
#   shot_clock  — shot clock value in seconds (decimal ok); blank if not applicable
#   notes       — short description of the event/rule (e.g. "Turnover", "Shooting Foul")
#                 displayed on screen when the event fires; blank to show nothing
#
# Replace the sample rows below with the actual timecodes for this video.
#
video_time,event_type,quarter,game_clock,shot_clock,notes
22,QuarterStart,1,10:00,,
22,GameClockStart,1,10:00,,
22,ShotClockStart,1,10:00,24,Game Starts
50,ShotClockReset24,1,09:32,24,Timing Error
57,ShotClockStop,1,09:25,,Ball Hit Ring
58,ShotClockStart,1,09:24,,Ball Recovered by Offense
62,ShotClockReset24,1,09:20,24,Turnover
79,ShotClockReset24,1,09:03,24,Turnover
86,ShotClockReset24,1,08:56,24,Turnover
101,ShotClockStop,1,08:41,,Ball Hit Ring
105,ShotClockReset24,1,08:37,24,Turnover
110,ShotClockStop,1,08:32,,Score
110,ShotClockReset24,1,08:32,24,
111,ShotClockStart,1,08:31,,
134,ShotClockStop,1,08:08,,Ball Hit Ring
135,ShotClockReset24,1,08:07,24,Turnover
141,ShotClockStop,1,08:01,,Score
141,ShotClockReset24,1,08:01,24,
143,ShotClockStart,1,07:59,,
156,ShotClockReset24,1,07:46,24,Turnover
172,ShotClockStop,1,07:30,,Score
172,ShotClockReset24,1,07:30,24,
175,ShotClockStart,1,07:27,,
200,ShotClockStop,1,07:02,,Ball Hit Ring
202,ShotClockStart,1,07:00,,Recovered by Defence
202,ShotClockReset24,1,07:00,24,
212,ShotClockReset24,1,06:50,24,Turnover
228,ShotClockStop,1,06:34,,Ball Hit Ring
229,ShotClockStart,1,06:33,,
229,ShotClockReset24,1,06:33,24,
242,ShotClockStop,1,06:20,,Ball Hit Ring
243,ShotClockStart,1,06:19,,
243,ShotClockReset24,1,06:19,24,
246,GameClockStop,1,06:16,,Foul (No Shot Clock Reset over 14 seconds)
246,ShotClockStop,1,06:16,,
260,GameClockStart,1,06:16,,
260,ShotClockStart,1,06:16,,
275,GameClockStop,1,06:01,,Shooting Foul
275,ShotClockStop,1,06:01,,
275,ShotClockReset24,1,06:01,24,
304,GameClockStart,1,06:01,,
304,ShotClockStart,1,06:01,,
319,ShotClockReset24,1,05:46,24,Turnover
327,ShotClockStop,1,05:38,,Score
327,ShotClockReset24,1,05:38,24,
328,ShotClockStart,1,05:37,,
334,ShotClockReset24,1,05:31,24,Turnover
340,ShotClockReset24,1,05:25,24,Turnover
348,ShotClockStop,1,05:17,,Ball Hit Ring
349,ShotClockStart,1,05:16,,
349,ShotClockReset24,1,05:16,24,Recovered by Defence
361,ShotClockStop,1,05:04,,Ball Hit Ring
362,ShotClockStart,1,05:03,,
362,ShotClockReset24,1,05:03,24,Recovered by Defence
